"species","decimalLatitude","decimalLongitude"
"52","Mesophyllum erubescens",-38.325133,174.702917
"53","Mesophyllum erubescens",-37.859833,176.986833
"54","Mesophyllum erubescens",-41.348333,174.765
"55","Mesophyllum erubescens",-35.6116,174.531933
"56","Mesophyllum erubescens",-36.8185,175.053433
"57","Mesophyllum erubescens",-34.828,173.410617
"58","Mesophyllum erubescens",-34.435133,172.71675
"59","Mesophyllum erubescens",-43.798233,-176.68355
"60","Mesophyllum erubescens",-43.815717,-176.705017
"61","Mesophyllum erubescens",-34.828,173.410617
"62","Mesophyllum erubescens",-38.705,178.050667
"63","Mesophyllum erubescens",-40.787033,172.95705
"64","Mesophyllum erubescens",-43.815717,-176.705017
"65","Mesophyllum erubescens",-36.8185,175.053433
"66","Mesophyllum erubescens",-40.785733,172.765783
"67","Mesophyllum erubescens",-35.196933,174.2161
"68","Mesophyllum erubescens",-36.8185,175.053433
"69","Mesophyllum erubescens",-41.35,174.766667
"70","Mesophyllum erubescens",-43.628667,172.928183
"71","Mesophyllum erubescens",-40.787033,172.95705
"72","Mesophyllum erubescens",-35.201333,174.205017
"73","Mesophyllum erubescens",-40.5,172.676667
"74","Mesophyllum erubescens",-38.705,178.050667
"75","Mesophyllum erubescens",-40.790883,172.95215
"76","Mesophyllum erubescens",-40.141667,176.865833
"77","Mesophyllum erubescens",-40.120533,176.874583
"78","Mesophyllum erubescens",-38.705,178.050667
"79","Mesophyllum erubescens",-36.376733,174.824133
"80","Mesophyllum erubescens",-41.156533,173.4009
"81","Mesophyllum erubescens",-40.5,172.676667
"82","Mesophyllum erubescens",-38.6836,178.031933
"83","Mesophyllum erubescens",-44,-176.675
"84","Mesophyllum erubescens",-40.87,174.920833
"85","Mesophyllum erubescens",-43.585,172.773833
"86","Mesophyllum erubescens",-41.156917,173.408283
"87","Mesophyllum erubescens",-38.596667,178.2
"88","Mesophyllum erubescens",-40.869833,174.921
"89","Mesophyllum erubescens",-41.156917,173.408283
"90","Mesophyllum erubescens",-43.628667,172.928183
"91","Mesophyllum erubescens",-43.815717,-176.705017
"92","Mesophyllum erubescens",-38.596667,178.2
"93","Mesophyllum erubescens",-40.787033,172.95705
"94","Mesophyllum erubescens",-43.628667,172.928183
"95","Mesophyllum erubescens",-40.120533,176.874583
"96","Mesophyllum erubescens",-40.141667,176.865833
"97","Mesophyllum erubescens",-38.705,178.050667
"98","Mesophyllum erubescens",-43.645833,172.638333
"99","Mesophyllum erubescens",-40.869833,174.921
"100","Mesophyllum erubescens",-43.628667,172.928183
"101","Mesophyllum erubescens",-38.596667,178.2
"102","Mesophyllum erubescens",-41.156533,173.4009
"103","Mesophyllum erubescens",-43.654617,173.04435
"104","Mesophyllum erubescens",-40.869833,174.921
"105","Mesophyllum erubescens",-38.596667,178.2
"106","Mesophyllum erubescens",-38.66,178.11
"107","Mesophyllum erubescens",-43.628667,172.928183
"108","Mesophyllum erubescens",-40.87,174.920833
"109","Mesophyllum erubescens",-38.596667,178.2
"110","Mesophyllum erubescens",-38.596667,178.2
"111","Mesophyllum erubescens",-38.596667,178.2
"112","Mesophyllum erubescens",-38.66,178.11
"113","Mesophyllum erubescens",-38.596667,178.2
"114","Mesophyllum erubescens",-43.628667,172.928183
"115","Mesophyllum erubescens",-38.66,178.11
"116","Mesophyllum erubescens",-40.87,174.920833
"117","Mesophyllum erubescens",-38.705,178.050667
"118","Mesophyllum erubescens",-39.96565,176.922133
"119","Mesophyllum erubescens",-38.596667,178.2
"120","Mesophyllum erubescens",-39.96565,176.922133
"121","Mesophyllum erubescens",-40.141667,176.865833
"122","Mesophyllum erubescens",-43.645833,172.638333
"123","Mesophyllum erubescens",-41.219333,174.714217
"124","Mesophyllum erubescens",-38.705,178.050667
"125","Mesophyllum erubescens",-41.219333,174.714217
"126","Mesophyllum erubescens",-38.66,178.11
"127","Mesophyllum erubescens",-38.596667,178.2
"128","Mesophyllum erubescens",-38.705,178.050667
"129","Mesophyllum erubescens",-40.120533,176.874583
"130","Mesophyllum erubescens",-38.66,178.11
"131","Mesophyllum erubescens",-40.120533,176.874583
"132","Mesophyllum erubescens",-43.621817,172.779317
"133","Mesophyllum erubescens",-38.66,178.11
"134","Mesophyllum erubescens",-40.120533,176.874583
"135","Mesophyllum erubescens",-38.66,178.11
"136","Mesophyllum erubescens",-38.66,178.11
"137","Mesophyllum erubescens",-38.66,178.11
"138","Mesophyllum erubescens",-41.731467,171.469633
"139","Mesophyllum erubescens",-39.96565,176.922133
"140","Mesophyllum erubescens",-40.794383,176.266767
"141","Mesophyllum erubescens",-41.731467,171.469633
"142","Mesophyllum erubescens",-40.784,172.961283
"143","Mesophyllum erubescens",-43.571,172.771833
